3715,1039
3715,1041
2302,2049
2302,3096
3711,1039
3711,1041
3133,1036
3133,1036
3048,3007
3041,1082
3040,3003
3043,3008
3042,3004
3044,1028
3044,1036
3047,1001
3047,1029
3046,1042
3046,3086
3046,1042
3122,1051
3122,1036
3123,1036
3252,1036
3124,1026
3124,1043
3124,1037
2015,1042
2032,2031
3401,3097
3401,3067
3134,1036
3134,1036
3137,3140
3137,3101
3136,1028
3136,1052
3139,3140
3139,1037
3139,1053
3034,1036
3035,1037
3036,3035
3036,3034
3030,3010
3030,3145
3031,1038
3031,1037
3031,1018
3033,3035
3033,3123
1418,1043
1418,3711
1419,1043
1419,3715
1410,3113
1410,1052
1410,3711
1412,3133
1412,3715
1413,3751
1413,3715
1414,3113
1414,1052
1414,3715
1416,1043
1416,3706
3084,1011
3084,3801
3140,1033
3142,3133
3142,3134
3143,3082
3143,1011
3144,1053
3144,1036
3145,1052
3145,1052
3146,3144
3146,3145
3147,3134
3147,1038
3672,3751
3673,3113
3673,1052
3671,3133
3814,1037
3814,3134
3814,1033
3029,3010
3029,1026
3028,1004
3028,1033
3028,1004
2301,2049
2301,3098
3026,1057
3026,1031
2303,2049
2303,3097
3024,1027
3024,1029
3022,3052
3022,1011
3020,1001
1409,3751
1409,3711
1408,3133
1408,3711
1402,3113
1402,1052
1402,3706
1401,3751
1401,3706
1400,3133
1400,3706
1011,1028
3812,1053
3812,1037
3812,3133
3108,1052
3748,3077
3748,1028
3748,3052
3742,1031
3742,1011
3153,3144
3153,1043
3152,3145
3152,3067
3151,3136
3151,1026
3157,3191
3157,3108
3156,3155
3156,3133
3155,1036
3155,1033
3158,1001
3211,1028
3211,1033
3508,1038
3508,3133
3508,1018
2045,2049
2045,1028
3010,1028
3010,1027
3504,3114
3504,3113
2049,1028
3092,3098
3092,3108
3090,3191
3090,1058
3091,1043
3091,1057
3091,1042
3096,1004
3096,3301
3097,3302
3097,1006
3094,3086
3094,2015
3098,3303
3098,1004
3751,1028
3801,1028
3801,1006
3800,3010
3800,3801
3802,1052
3802,1027
3004,3070
3004,1037
3007,3073
3007,1058
3006,1001
3006,1042
3001,3108
3001,1057
3001,1052
3003,3070
3003,1058
3165,3108
3165,1052
3165,3802
3009,1001
3008,3073
3008,1037
2053,1006
2053,1031
3512,2053
3512,1057
3089,1026
3089,1058
3089,1052
3085,1043
3085,3086
3087,3086
3087,2015
1031,1029
3083,1011
3083,3067
3083,3801
3082,1029
3082,1029
3070,1027
3070,1004
3071,3044
3071,3133
3072,1038
3072,1036
3072,1053
3073,1027
3073,1004
3074,3077
3074,1053
3074,1037
3075,1029
3075,1031
3077,1036
3077,1006
3077,1036
3078,3101
3078,3057
3078,3044
3170,3191
3170,1057
3285,1058
3285,3113
3174,3108
3174,3028
3104,3133
3104,3052
3086,1051
3086,1042
3060,3105
3060,3024
3067,1028
3065,3211
3065,3067
3110,3082
3110,3024
3069,3096
3069,2053
3068,1031
3068,3751
3706,1039
3706,1041
1053,1036
1057,1033
3105,1033
3105,1029
3107,3114
3107,3801
3100,3057
3100,3113
3100,1026
3101,1042
3101,1042
3102,3211
3102,1057
3185,3122
3185,1018
3187,3024
3187,3067
2033,2031
3181,1037
3181,1053
3675,1043
3056,2053
3056,3067
3057,1027
3052,1036
3052,1028
3053,3052
3053,1036
3050,1052
3050,3024
3050,1052
3109,3801
3109,1029
3109,3801
1043,1042
1043,1042
3135,1026
3135,1052
3117,1001
3116,1058
3116,1052
3116,1011
3115,3101
3115,3108
3114,1004
3114,1004
3113,1052
3111,1001
3111,1033
3222,3028
3222,3114
3197,3196
3196,3200
3191,1029
3191,1052
3191,1029
3190,3105
3190,1033
3027,3010
3027,1026
3025,3057
3025,3024
3198,3197
