1	266
2	103
3	84
4	12
5	32
6	34
7	1
8	22
9	136
10	268
11	432
12	53
13	63
14	201
15	51
16	69
17	31
18	42
19	122
20	131
21	119
22	36
23	245
24	60
25	28
26	81
27	9
28	114
29	105
30	3
31	41
32	86
33	150
34	79
35	104
36	120
37	74
38	420
39	39
40	427
41	40
42	59
43	24
44	126
45	202
46	222
47	429
48	43
49	30
50	38
51	55
52	10
53	85
54	121
55	203
56	240
57	96
58	7
59	64
60	89
61	127
62	236
63	117
64	99
65	54
66	90
67	57
68	11
69	21
70	62
71	82
72	25
73	267
74	75
75	111
76	76
77	56
78	20
79	2
80	61
81	80
82	78
83	133
84	33
85	421
86	58
87	107
88	92
89	68
90	13
91	113
92	35
93	98
94	102
95	27
96	14
97	15
98	72
99	37
100	16
101	50
102	134
103	223
104	163
105	91
106	44
107	17
108	412
109	18
110	48
111	23
112	4
113	29
114	77
115	6
116	110
117	67
118	45
119	161
120	254
121	112
122	8
123	106
124	19
125	101
126	5
127	157
128	83
129	154
130	238
131	115
132	26
133	143
